Ticker;Ind. Id;Indicadores;Atual;2022;2021;2020;2019;2018;2017;2016;2015;2014
AALR3;0;D.Y;-%;-%;-%;0,79%;0,47%;-%;-%;-%;-%;-%
AALR3;1;P/L;-4,6;-11,22;-314,82;-13,48;52,01;39,28;263,19;-;-;-
AALR3;2;PEG RATIO;-0,05;0;-;-;-;0,08;-;-;-;-
AALR3;3;P/VP;1,19;2,69;1,51;1,1;1,68;1,25;1,44;-;-;-
AALR3;4;EV/EBITDA;15,32;39,34;11,65;17,06;10,27;9,58;15,12;-;-;-
AALR3;5;EV/EBIT;106,38;-105,23;27,46;-205,83;18,75;15,35;32,11;-;-;-
AALR3;6;P/EBITDA;9,42;29,81;8,52;11,93;8,25;7,16;11,72;-;-;-
AALR3;7;P/EBIT;65,41;-79,76;20,08;-143,93;15,06;11,47;24,89;-;-;-
AALR3;8;VPA;8,58;8,03;9,94;10,06;10,84;10,63;10,31;-;-;-
AALR3;9;P/ATIVO;0,44;0,98;0,7;0,52;0,89;0,71;0,77;-;-;-
AALR3;10;LPA;-2,22;-1,93;-0,05;-0,82;0,35;0,34;0,06;-;-;-
AALR3;11;P/SR;1,05;2,35;1,56;1,41;2;1,46;1,62;-;-;-
AALR3;12;P/CAP. GIRO;-5,41;-13,16;-17,67;14,2;198,69;104,96;44,32;-;-;-
AALR3;13;P/ATIVO CIR. LIQ;-0,57;-1,2;-0,86;-0,67;-1,08;-0,87;-0,93;-;-;-
AALR3;14;DÍV. LIQ/PL;0,75;0,86;0,55;0,47;0,41;0,42;0,42;0,26;0,61;0,38
AALR3;15;DIV. LIQ/EBITDA;5,89;9,52;3,13;5,13;2,02;2,42;3,4;1,99;3,05;4,26
AALR3;16;DIV. LIQ/EBIT;40,9;-25,48;7,38;-61,9;3,69;3,88;7,22;3,07;4,05;9,49
AALR3;17;PL/ATIVOS;0,37;0,36;0,46;0,47;0,53;0,57;0,53;0,54;0,47;0,51
AALR3;18;PASSIVOS/ATIVOS;0,62;0,62;0,52;0,52;0,45;0,41;0,44;0,44;0,52;0,49
AALR3;19;LIQ. CORRENTE;0,74;0,71;0,83;1,19;1,03;1,04;1,11;1,22;1,15;1,08
AALR3;20;M.BRUTA;30,10%;30,02%;31,33%;17,80%;26,55%;26,87%;29,81%;37,88%;39,66%;33,96%
AALR3;21;M.EBITDA;11,13%;7,90%;18,28%;11,85%;24,28%;20,42%;13,86%;16,29%;20,64%;16,88%
AALR3;22;M.EBIT;1,60%;-2,95%;7,76%;-0,98%;13,30%;12,75%;6,53%;10,57%;15,54%;7,58%
AALR3;23;M.LIQ;-22,81%;-21,00%;-0,49%;-10,49%;3,85%;3,72%;0,62%;1,55%;-1,82%;-1,06%
AALR3;24;ROE;-25,92%;-23,99%;-0,48%;-8,18%;3,22%;3,19%;0,55%;1,26%;-1,78%;-0,56%
AALR3;25;ROA;-9,58%;-8,71%;-0,22%;-3,83%;1,72%;1,81%;0,29%;0,68%;-0,83%;-0,28%
AALR3;26;ROIC;-0,51%;-2,28%;4,41%;-1,41%;6,57%;6,24%;2,56%;5,52%;7,54%;2,66%
AALR3;27;GIRO ATIVOS;0,42;0,41;0,45;0,37;0,45;0,49;0,47;0,44;0,46;0,27
AALR3;28;CAGR REC. 5;0,13%;0,13%;3,62%;5,83%;22,24%;31,31%;-%;-%;-%;-%
AALR3;29;CAGR LUCRO 5;-%;-%;-%;-%;-%;7,69%;-%;-%;-%;-%
ABCB4;0;D.Y;5,86%;9,48%;7,90%;1,01%;5,20%;6,39%;6,32%;7,80%;13,72%;4,88%
ABCB4;1;P/L;5,89;5,62;6,37;10,16;8,86;8,25;7,64;6,19;3,57;6,21
ABCB4;2;PEG RATIO;1,22;0,14;-;-;-;-3,22;0,84;7,61;0,19;0,26
ABCB4;3;P/VP;0,81;0,85;0,77;0,81;1,09;0,94;0,99;0,84;0,55;0,93
ABCB4;4;EV/EBITDA;-;-;-;-;9,53;-;-;-;-;-
ABCB4;5;EV/EBIT;4,45;4,94;6,07;-17,67;10,03;10,97;7,21;4,18;6,36;5,51
ABCB4;6;P/EBITDA;-;-;-;-;9,53;-;-;-;-;-
ABCB4;7;P/EBIT;4,44;4,94;6,07;-17,67;10,03;10,97;7,21;4,18;6,36;5,51
ABCB4;8;VPA;25,31;23,01;20,65;19,41;18,51;18,01;17,29;16,63;15,79;14,49
ABCB4;9;P/ATIVO;0,08;0,08;0,08;0,08;0,12;0,11;0,11;0,09;0,06;0,1
ABCB4;10;LPA;3,49;3,49;2,49;1,54;2,28;2,05;2,25;2,25;2,44;2,17
ABCB4;11;P/SR;0,93;0,87;1,26;1,46;1,96;1,44;1,51;1,21;0,62;1,19
ABCB4;12;P/CAP. GIRO;1,28;1,18;-6,04;0,8;11,12;0,82;0,95;0,6;0,53;1,52
ABCB4;13;P/ATIVO CIR. LIQ;-0,09;-0,09;-0,08;-0,09;-0,37;-0,43;-0,52;-0,39;-0,22;-0,32
ABCB4;14;DÍV. LIQ/PL;-;-;-;-;-;-;-;-;-;-
ABCB4;15;DIV. LIQ/EBITDA;-;-;-;-;-;-;-;-;-;-
ABCB4;16;DIV. LIQ/EBIT;-;-;-;-;-;-;-;-;-;-
ABCB4;17;PL/ATIVOS;0,1;0,09;0,1;0,1;0,12;0,12;0,13;0,12;0,11;0,12
